index,name,imdbUrl,screentime,episodes,portrayedBy
125,Kraznys mo Nakloz,http://www.imdb.com/character/ch0339503/,5.45,3,"{'name': 'Dan Hildebrand', 'imdbUrl': 'http://www.imdb.com/name/nm0383835/'}"
126,The Night's King,http://www.imdb.com/character/ch0512154/,5.3,5,"{'name': 'Richard Brake', 'imdbUrl': 'http://www.imdb.com/name/nm0104114/'}"
127,Spice King,http://www.imdb.com/character/ch0305005/,5.3,3,"{'name': 'Nicholas Blane', 'imdbUrl': 'http://www.imdb.com/name/nm0087432/'}"
128,Styr,http://www.imdb.com/character/ch0400416/,5.3,4,"{'name': 'Yuri Kolokolnikov', 'imdbUrl': 'http://www.imdb.com/name/nm0464305/'}"
129,Dagmer Cleftjaw,http://www.imdb.com/character/ch0304762/,5.15,5,"{'name': 'Ralph Ineson', 'imdbUrl': 'http://www.imdb.com/name/nm0408591/'}"
130,Khal Moro,http://www.imdb.com/character/ch0538748/,5.15,3,"{'name': 'Joseph Naufahu', 'imdbUrl': 'http://www.imdb.com/name/nm0622533/'}"
131,Rickard Karstark,http://www.imdb.com/character/ch0305331/,5.15,6,"{'name': 'Steve Blount', 'imdbUrl': 'http://www.imdb.com/name/nm0089416/'}"
132,Rattleshirt,http://www.imdb.com/character/ch0305888/,5.15,4,"{'name': 'Edward Dogliani', 'imdbUrl': 'http://www.imdb.com/name/nm2589085/'}"
133,Karsi,http://www.imdb.com/character/ch0512707/,5.15,unspecified,"{'name': 'Birgitte Hjort Sørensen', 'imdbUrl': 'http://www.imdb.com/name/nm2171898/'}"
134,Qotho,http://www.imdb.com/character/ch0246162/,5.15,6,"{'name': 'Dar Salim', 'imdbUrl': 'http://www.imdb.com/name/nm1502469/'}"
135,Armeca,http://www.imdb.com/character/ch0305014/,5.15,3,"{'name': 'Sahara Knite', 'imdbUrl': 'http://www.imdb.com/name/nm1783582/'}"
136,Anguy,http://www.imdb.com/character/ch0316930/,5.0,6,"{'name': 'Philip McGinley', 'imdbUrl': 'http://www.imdb.com/name/nm1528121/'}"
137,Greatjon Umber,http://www.imdb.com/character/ch0305010/,5.0,3,"{'name': 'Clive Mantle', 'imdbUrl': 'http://www.imdb.com/name/nm0544139/'}"
138,Lothar Frey,http://www.imdb.com/character/ch0384471/,5.0,7,"{'name': 'Tom Brooke', 'imdbUrl': 'http://www.imdb.com/name/nm1623508/'}"
139,Vala,http://www.imdb.com/character/ch0539344/,5.0,3,"{'name': 'Meena Rayann', 'imdbUrl': 'http://www.imdb.com/name/nm5159884/'}"
140,Shagga,http://www.imdb.com/character/ch0305021/,5.0,2,"{'name': 'Mark Lewis Jones', 'imdbUrl': 'http://www.imdb.com/name/nm0428765/'}"
